Yr,Seas,FltSvy,Gender,Part,Age_err,Lbin_low,Lbin_hi,Nsamp,Age-0,Age-1,Age-2,Age-3,Age-4,Age-5,Age-6,Age-7,Age-8,Age-9,Age-10,Age-11,Age-12,Age-13,Age-14,Age-15,Age-16,Age-17,Age-18,Age-19,Age-20,Age-21
2017,1,2,0,0,1,-1,-1,15,0,5,9,7,3,2,2,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0
2018,1,2,0,0,1,-1,-1,39,17,16,6,11,12,10,8,7,5,4,4,3,3,3,3,3,2,2,2,2,2,2
2019,1,2,0,0,1,-1,-1,36,1,28,8,6,6,6,6,5,4,3,3,2,2,2,2,2,2,2,2,2,2,2
2020,1,2,0,0,1,-1,-1,41,64,25,40,14,13,14,13,10,8,7,6,5,5,4,4,4,4,4,4,4,4,4
2021,1,2,0,0,1,-1,-1,11,0,4,1,10,11,6,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2022,1,2,0,0,1,-1,-1,31,0,27,13,18,14,9,7,5,4,4,3,3,3,2,2,2,2,2,2,2,2,2
2023,1,2,0,0,1,-1,-1,58,39,80,33,43,26,17,12,9,7,6,5,5,4,4,4,4,4,4,4,4,4,4
2017,1,4,0,0,1,-1,-1,39,1,34,34,46,28,11,4,3,2,2,1,1,1,1,1,1,1,1,1,1,1,1
2018,1,4,0,0,1,-1,-1,32,0,26,9,24,19,12,8,5,4,3,2,2,2,1,1,1,1,1,1,1,1,1
2019,1,4,0,0,1,-1,-1,14,0,2,4,6,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,1,4,0,0,1,-1,-1,17,0,6,7,6,5,4,3,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0
2021,1,4,0,0,1,-1,-1,23,0,17,14,19,8,3,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
2022,1,4,0,0,1,-1,-1,56,1,37,54,23,11,6,4,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1
2023,1,4,0,0,1,-1,-1,20,0,44,34,12,5,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
